"ID","Female_total_EPO_clutches","BroodName","Cohort","SocialDadID","FWPO","FEPO","FTO","FPercentEP","F_EPP_brood","F_total_Brood_number","F_total_Partner_number","Number_Broods_with_Partner","F_Percent_clutch_EP","Sex","Age"
556,3,"D024",2004,23,4,0,4,0,0,6,6,6,0.5,"0",1
556,3,"D122",2004,23,3,3,6,0.5,1,6,6,6,0.5,"0",1
556,3,"D156",2004,23,4,0,4,0,0,6,6,6,0.5,"0",1
556,3,"D195",2004,23,2,1,3,0.333333333333333,1,6,6,6,0.5,"0",1
556,3,"E054",2005,23,3,2,5,0.4,1,6,6,6,0.5,"0",2
556,3,"E137",2005,23,5,0,5,0,0,6,6,6,0.5,"0",2
560,0,"D006",2004,1103,4,0,4,0,0,4,4,1,0,"0",1
560,0,"E017",2005,4230,5,0,5,0,0,4,4,3,0,"0",2
560,0,"E086",2005,4230,3,0,3,0,0,4,4,3,0,"0",2
560,0,"E184",2005,4230,5,0,5,0,0,4,4,3,0,"0",2
562,3,"D026",2004,393,1,2,3,0.666666666666667,1,3,3,3,1,"0",1
562,3,"D088",2004,393,1,2,3,0.666666666666667,1,3,3,3,1,"0",1
562,3,"D188",2004,393,3,1,4,0.25,1,3,3,3,1,"0",1
569,1,"D062",2004,1043,1,0,1,0,0,3,3,1,0.333333333333333,"0",1
569,1,"E083",2005,1717,3,0,3,0,0,3,3,2,0.333333333333333,"0",2
569,1,"E113",2005,1717,2,2,4,0.5,1,3,3,2,0.333333333333333,"0",2
571,4,"D038",2004,4423,3,1,4,0.25,1,7,7,2,0.571428571428571,"0",1
571,4,"D136",2004,4423,1,1,2,0.5,1,7,7,2,0.571428571428571,"0",1
571,4,"E070",2005,974,3,0,3,0,0,7,7,3,0.571428571428571,"0",2
571,4,"E241",2005,974,2,2,4,0.5,1,7,7,3,0.571428571428571,"0",2
571,4,"E247",2005,974,2,1,3,0.333333333333333,1,7,7,3,0.571428571428571,"0",2
571,4,"F027",2006,1227,4,0,4,0,0,7,7,2,0.571428571428571,"0",3
571,4,"F065",2006,1227,4,0,4,0,0,7,7,2,0.571428571428571,"0",3
586,5,"C017",2003,460,3,1,4,0.25,1,14,14,1,0.357142857142857,"0",1
586,5,"C078",2003,285,4,0,4,0,0,14,14,8,0.357142857142857,"0",1
586,5,"D033",2004,285,5,0,5,0,0,14,14,8,0.357142857142857,"0",2
586,5,"D094",2004,285,4,0,4,0,0,14,14,8,0.357142857142857,"0",2
586,5,"D177",2004,285,4,0,4,0,0,14,14,8,0.357142857142857,"0",2
586,5,"E031",2005,285,4,0,4,0,0,14,14,8,0.357142857142857,"0",3
586,5,"E105",2005,285,2,3,5,0.6,1,14,14,8,0.357142857142857,"0",3
586,5,"E181",2005,285,2,0,2,0,0,14,14,8,0.357142857142857,"0",3
586,5,"E233",2005,285,2,0,2,0,0,14,14,8,0.357142857142857,"0",3
586,5,"F087",2006,4230,4,0,4,0,0,14,14,1,0.357142857142857,"0",4
586,5,"F107",2006,2651,5,0,5,0,0,14,14,4,0.357142857142857,"0",4
586,5,"G029",2007,2651,3,1,4,0.25,1,14,14,4,0.357142857142857,"0",5
586,5,"G063",2007,2651,3,1,4,0.25,1,14,14,4,0.357142857142857,"0",5
586,5,"G094",2007,2651,3,1,4,0.25,1,14,14,4,0.357142857142857,"0",5
592,3,"D011",2004,418,2,0,2,0,0,8,8,8,0.375,"0",2
592,3,"D072",2004,418,3,1,4,0.25,1,8,8,8,0.375,"0",2
592,3,"D127",2004,418,2,1,3,0.333333333333333,1,8,8,8,0.375,"0",2
592,3,"E049",2005,418,4,0,4,0,0,8,8,8,0.375,"0",3
592,3,"E169",2005,418,2,0,2,0,0,8,8,8,0.375,"0",3
592,3,"F018",2006,418,3,0,3,0,0,8,8,8,0.375,"0",4
592,3,"F081",2006,418,3,0,3,0,0,8,8,8,0.375,"0",4
592,3,"F122",2006,418,3,1,4,0.25,1,8,8,8,0.375,"0",4
595,1,"C012",2003,4422,1,0,1,0,0,3,3,1,0.333333333333333,"0",1
595,1,"C050",2003,356,4,0,4,0,0,3,3,1,0.333333333333333,"0",1
595,1,"C105",2003,725,3,1,4,0.25,1,3,3,1,0.333333333333333,"0",1
601,1,"C023",2003,4153,1,1,2,0.5,1,3,3,1,0.333333333333333,"0",1
601,1,"C083",2003,645,3,0,3,0,0,3,3,2,0.333333333333333,"0",1
601,1,"C120",2003,645,1,0,1,0,0,3,3,2,0.333333333333333,"0",1
604,3,"C058",2003,456,3,0,3,0,0,9,9,1,0.333333333333333,"0",1
604,3,"C104",2003,4463,5,0,5,0,0,9,9,1,0.333333333333333,"0",1
604,3,"D064",2004,4304,2,0,2,0,0,9,9,7,0.333333333333333,"0",2
604,3,"D124",2004,4304,5,0,5,0,0,9,9,7,0.333333333333333,"0",2
604,3,"E005",2005,4304,1,1,2,0.5,1,9,9,7,0.333333333333333,"0",3
604,3,"E021",2005,4304,5,0,5,0,0,9,9,7,0.333333333333333,"0",3
604,3,"E091",2005,4304,5,0,5,0,0,9,9,7,0.333333333333333,"0",3
604,3,"E171",2005,4304,4,1,5,0.2,1,9,9,7,0.333333333333333,"0",3
604,3,"E240",2005,4304,4,1,5,0.2,1,9,9,7,0.333333333333333,"0",3
605,3,"C065",2003,44,1,0,1,0,0,8,8,1,0.375,"0",1
605,3,"C097",2003,178,5,0,5,0,0,8,8,1,0.375,"0",1
605,3,"D025",2004,4423,3,0,3,0,0,8,8,3,0.375,"0",2
605,3,"D121",2004,4423,2,2,4,0.5,1,8,8,3,0.375,"0",2
605,3,"D165",2004,4423,1,3,4,0.75,1,8,8,3,0.375,"0",2
605,3,"E057",2005,1227,5,0,5,0,0,8,8,3,0.375,"0",3
